iter	Passed	Remaining
465	773	886
466	775	885
467	777	883
468	778	881
469	779	879
470	781	877
471	782	875
472	783	873
473	785	871
474	786	869
475	788	867
476	789	865
477	791	863
478	792	862
479	793	860
480	795	858
481	796	856
482	798	854
483	799	852
484	800	850
485	802	848
486	803	846
487	805	845
488	806	843
489	808	841
490	809	839
491	810	837
492	812	835
493	813	833
494	814	831
495	816	829
496	817	827
497	819	825
498	820	824
499	822	822
500	823	820
501	824	818
502	826	817
503	829	816
504	831	814
505	834	814
506	836	813
507	838	812
508	840	810
509	843	810
510	844	808
511	846	806
512	848	805
513	849	803
514	851	801
515	852	799
516	854	798
517	855	796
518	857	794
519	859	793
520	862	792
521	863	790
522	865	788
523	866	787
524	867	785
525	869	783
526	870	781
527	871	779
528	873	777
529	874	775
530	876	774
531	877	772
532	879	770
533	880	768
534	881	766
535	884	765
536	887	764
537	888	763
538	890	761
539	892	760
540	896	760
541	898	758
542	899	756
543	900	755
544	902	753
545	903	751
546	907	751
547	909	750
548	910	748
549	912	746
550	913	744
551	914	742
552	916	740
553	917	738
554	918	736
555	921	736
556	924	735
557	926	734
558	928	732
559	930	731
560	935	731
561	937	730
562	940	729
563	942	728
564	944	727
565	946	725
566	948	724
567	950	723
568	952	721
569	954	719
570	956	718
571	958	716
572	960	715
573	962	714
574	964	713
575	966	711
576	968	710
577	970	708
578	972	707
579	974	705
580	976	704
581	979	703
582	981	701
583	983	700
584	985	699
585	987	697
586	990	697
587	993	696
588	996	695
589	998	693
590	1001	693
591	1003	691
592	1007	691
593	1010	690
594	1012	689
595	1014	687
596	1017	686
597	1019	685
598	1023	685
599	1025	683
600	1027	682
601	1029	680
602	1031	678
603	1033	677
604	1036	676
605	1037	674
606	1039	673
607	1041	671
608	1043	670
609	1045	668
610	1047	666
611	1049	665
612	1051	663
613	1053	662
614	1055	660
615	1057	659
616	1059	657
617	1061	656
618	1064	654
619	1066	653
620	1067	651
621	1069	649
622	1070	647
623	1071	645
624	1073	643
625	1074	641
626	1075	639
627	1077	638
628	1080	637
629	1082	635
630	1083	633
631	1085	631
632	1086	630
633	1088	628
634	1089	626
635	1092	625
636	1094	623
637	1095	621
638	1096	619
639	1098	617
640	1099	615
641	1100	613
642	1102	611
643	1103	609
644	1104	608
645	1106	606
646	1108	604
647	1109	602
648	1110	600
649	1112	598
650	1113	596
651	1114	595
652	1116	593
653	1118	591
654	1119	589
655	1121	588
656	1123	586
657	1124	584
658	1125	582
659	1127	580
660	1128	578
661	1129	576
662	1131	574
663	1132	573
664	1133	571
665	1135	569
666	1136	567
667	1137	565
668	1139	563
669	1140	561
670	1142	559
671	1143	558
672	1145	556
673	1147	554
674	1150	553
675	1153	552
676	1156	551
677	1160	550
678	1162	549
679	1166	549
680	1169	548
681	1172	546
682	1173	544
683	1175	543
684	1177	541
685	1182	541
686	1184	539
687	1186	537
688	1188	536
689	1190	534
690	1192	533
691	1195	531
692	1197	530
693	1200	529
694	1202	527
695	1204	525
696	1205	524
697	1207	522
698	1210	521
699	1212	519
700	1214	517
701	1216	516
702	1217	514
703	1219	512
704	1221	511
705	1224	509
706	1225	507
707	1227	506
708	1229	504
709	1231	503
710	1233	501
711	1235	499
712	1237	498
713	1239	496
714	1241	494
715	1243	493
716	1246	491
717	1248	490
718	1249	488
719	1253	487
720	1255	485
721	1257	484
722	1259	482
723	1261	480
724	1262	479
725	1264	477
726	1267	475
727	1270	474
728	1272	473
729	1275	471
730	1278	470
731	1280	468
732	1283	467
733	1285	465
734	1287	464
735	1289	462
736	1290	460
737	1292	458
738	1294	457
739	1297	455
740	1299	454
741	1301	452
742	1303	450
743	1305	449
744	1307	447
745	1308	445
746	1311	444
747	1313	442
748	1316	441
749	1318	439
750	1321	437
751	1323	436
752	1326	435
753	1328	433
754	1334	432
755	1336	431
756	1340	430
757	1343	428
758	1345	427
759	1347	425
760	1349	423
761	1351	422
762	1355	420
763	1357	419
764	1359	417
765	1361	415
766	1363	414
767	1364	412
768	1367	410
769	1369	408
770	1370	407
771	1373	405
772	1375	404
773	1377	402
774	1379	400
775	1381	398
776	1384	397
777	1386	395
778	1388	393
779	1389	392
780	1391	390
781	1393	388
782	1395	386
783	1397	384
784	1398	383
785	1401	381
786	1402	379
787	1404	377
788	1406	376
789	1408	374
790	1410	372
791	1412	371
792	1414	369
